PositionLon,PositionLat,RoadID,RoadName,BIGVOLUME,BIGSPEED,CARVOLUME,CARSPEED,MOTORVOLUME,MOTORSPEED,AVGSPEED,FREESPD,InfoTime,InfoData
121.55244,24.98919,600799A,辛亥路六段,0.0,0.0,2.0,41.0,0.0,0.0,41.0,2.0,2020-01-14 12:36:00,2020-01-14
121.53797,25.0236,200040,建國南北快速道路,0.0,0.0,2.0,36.0,0.0,0.0,36.0,2.0,2020-01-14 00:55:00,2020-01-14
121.55964,25.06261,600530A,民權東路四段,1.0,58.0,30.0,52.0,0.0,0.0,52.0,22.0,2020-01-14 07:25:00,2020-01-14
121.53619,25.01139,600922A,福和橋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-01-14 09:09:00,2020-01-14
121.51601,25.04858,200020,市民大道高架道路,0.0,0.0,1.0,72.0,1.0,67.0,69.0,1.0,2020-01-14 01:55:00,2020-01-14
121.56549,25.04297,600170A,基隆路一段,1.0,25.0,13.0,27.0,0.0,0.0,27.0,21.0,2020-01-14 08:45:00,2020-01-14
121.5446,25.04768,600095A,八德路二段,0.0,0.0,4.0,39.0,0.0,0.0,39.0,4.0,2020-01-14 18:47:00,2020-01-14
121.53725,25.06039,600303A,建國北路二段,0.0,0.0,5.0,18.0,0.0,0.0,18.0,4.0,2020-01-14 13:41:00,2020-01-14
121.50133,25.03108,600731A,莒光路,0.0,0.0,4.0,35.0,0.0,0.0,35.0,3.0,2020-01-14 17:19:00,2020-01-14
121.55012,25.03144,600076A,信義路三段,0.0,0.0,3.0,32.0,0.0,0.0,32.0,1.0,2020-01-14 22:14:00,2020-01-14
121.57976,25.00349,200030,信義快速道路,0.0,0.0,5.0,71.0,0.0,0.0,71.0,4.0,2020-01-14 10:34:00,2020-01-14
121.57624,25.02458,200030,信義快速道路,0.0,0.0,5.0,69.0,0.0,0.0,69.0,2.0,2020-01-14 17:39:00,2020-01-14
121.55744,25.02906,600171A,基隆路二段,0.0,0.0,19.0,40.0,0.0,0.0,40.0,11.0,2020-01-14 19:11:00,2020-01-14
